Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"62548615","36837818","0","Great, if I have 600k elements in array and want to remove first 50k, can you imagine that slowness? This is not solution, there's need for function which just remove elements and returns nothing.","2016-05-30 15:11:17","","2979439"
"30692173","5767357","15","@AlexandreWiechersVaz Of course it preserves order, if it didn't then it would be absolutely worthless","2013-12-11 19:18:02","","1217408"
"15284605","11556597","0","Brilliant! I knew there was some simple way to to this. Thanks a lot! Will accept in 5 min.","2012-07-19 08:17:09","","921563"
"15284822","11556597","0","@OptimusCrime Much appreciated!","2012-07-19 08:26:15","","612734"
"62601499","36837818","0","@Seraph For that, you'd probably want to use `splice` or `slice`.","2016-05-31 22:04:28","","722180"
"62602646","36837818","0","@bjfletcher Thats even better, in process of removal, just allocate 50K elements and throw them somewhere. (with slice 550K elements, but without throwing them from the window).","2016-05-31 23:06:07","","2979439"
"46339860","1335881","2","Recent developments suggest the use of ""use strong"" as proposed by Google's R&D team on V8: https://developers.google.com/v8/experiments -- This would force a feature subset policy to remove certain ambiguity for performance reasons","2015-03-14 16:00:03","","1061927"
"15303027","1188834","8","Better for the down migration: `change_column_default :people, :last_name, nil`
http://stackoverflow.com/a/1746246/483520","2012-07-19 19:29:59","","483520"
"30750792","1552353","0","`--name-only` only shows the *files* that were changed.. now If I do `git diff SHA1 SHA2` I'll see all the code.. for large commits this can look really bad on the CLI.. is there a gui software (ie a diff tool like [diffmerge](https://sourcegear.com/diffmerge/)) that can accept such a git command and visually display the diff?","2013-12-13 06:40:51","","766570"
"30750936","1552353","0","never mind.. i just figured out that it can be done visually.. ie with tools like [sourcetree](https://www.atlassian.com/software/sourcetree/overview?_mid=8b90e14347096994af7257f4bfdf89e0&gclid=COrPx5jNrLsCFSYHwwodZAcAXQ) using diffmerge as a gui diff app.. you can simply select all the commits (including the one before the first commit, or else you won't see the changes of the first commit).. and it will aggregate all the diffs in a nice way.. pretty neat!","2013-12-13 06:47:32","","766570"
