Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"16162511","2","","572549","2013-04-23 06:32:26","","151","","<p>With <a href=""https://github.com/git/git/blob/f99a38c0121456822f8a9dfb7928eefceaa98201/Documentation/RelNotes/2.0.0.txt#L32-L36"" rel=""noreferrer""><strong>Git 2.0, <code>git add -A</code> is default: <code>git add .</code> equals <code>git add -A .</code></strong></a>.  </p>

<blockquote>
  <p><code>git add &lt;path&gt;</code> is the same as ""<code>git add -A &lt;path&gt;</code>"" now, so that
  ""<code>git add dir/</code>"" will notice paths you removed from the directory and
  record the removal.<br>
  In older versions of Git, ""<code>git add &lt;path&gt;</code>"" used to ignore removals.  </p>
  
  <p>You can say ""<code>git add --ignore-removal &lt;path&gt;</code>"" to
  add only added or modified paths in <code>&lt;path&gt;</code>, if you really want to.</p>
</blockquote>

<p><code>git add</code> is like <code>git add :/</code> (<a href=""https://stackoverflow.com/a/31951899/6309"">add everything from top git repo folder</a>).<br>
Note that git 2.7 (Nov. 2015) will allow you to add a folder named ""<code>:</code>""!<br>
See <a href=""https://github.com/git/git/commit/29abb33978f713cd0a5cc3687bf61077b0928840"" rel=""noreferrer"">commit 29abb33</a> (25 Oct 2015) by <a href=""https://github.com/gitster"" rel=""noreferrer"">Junio C Hamano (<code>gitster</code>)</a>.  </p>

<hr>

<p>Note that <a href=""https://github.com/git/git/blob/master/Documentation/RelNotes/1.8.3.txt#L19-L30"" rel=""noreferrer"">starting git 2.0 (Q1 or Q2 2014)</a>, when talking about <strong><code>git add .</code></strong> (current path within the working tree), you must use '<code>.</code>' in the other <code>git add</code> commands as well.</p>

<p>That means:</p>

<blockquote>
  <p>""<code>git add -A .</code>"" is equivalent to ""<code>git add .; git add -u .</code>""</p>
</blockquote>

<p>(Note the extra '<code>.</code>' for <code>git add -A</code> and <code>git add -u</code>)</p>

<p>Because <code>git add -A</code> or <code>git add -u</code> would operate (starting git 2.0 only) on the <strong>entire working tree</strong>, and not just on the current path.</p>

<blockquote>
  <p>Those commands will <strong>operate on the entire tree in Git 2.0 for consistency with ""<code>git commit -a</code>"" and other commands</strong>.
  Because there will be no mechanism to make ""<code>git add -u</code>"" behave as if ""<code>git add -u .</code>"", it is important for those who are used to ""<code>git add -u</code>"" (without pathspec) updating the index only for paths in the current subdirectory to start training their fingers to explicitly say ""<code>git add -u .</code>"" when they mean it before Git 2.0 comes.</p>
  
  <p><strong>A warning is issued when these commands are run without a pathspec and when you have local changes outside the current directory</strong>, because the behaviour in Git 2.0 will be different
  from today's version in such a situation.</p>
</blockquote>
","6309","","-1","","2017-05-23 12:10:45","2015-10-31 07:11:54","","","","3","","",""
"22894343","2","","572549","2014-04-06 12:56:26","","32","","<p>Late to the party but this question also deserves a more distilled quick answer. </p>

<pre><code>git add -A 
</code></pre>

<p>Does both below (same as <em>git add --all</em>)</p>

<pre><code>git add . 
</code></pre>

<p>Stages new + modified files</p>

<pre><code>git add -u 
</code></pre>

<p>Stages modified + deleted files</p>
","1781318","","1781318","","2014-04-23 11:48:01","2014-04-23 11:48:01","","","","3","","",""
"26343584","2","","572549","2014-10-13 15:29:52","","24","","<p><a href=""https://git.kernel.org/cgit/git/git.git/tree/Documentation/RelNotes/2.0.0.txt"">Things changed</a> with Git 2.0:</p>

<ul>
<li><code>-A</code> is now the default</li>
<li>the old behavior is now available with <code>--ignore-removal</code></li>
<li><code>git add -u</code> and <code>git add -A</code> in a subdirectory without paths on the command line operate on the entire tree</li>
</ul>

<p>So for git 2 the answer is:</p>

<ul>
<li><code>git add .</code> and <code>git add -A .</code> add new/modified/deleted files in the current directory</li>
<li><code>git add --ignore-removal .</code> adds new/modified files in the current directory</li>
<li><code>git add -u .</code> adds modified/deleted files in the current directory</li>
<li>without the dot, add all files in the project regardless of the current directory</li>
</ul>
","2032514","","","","","2014-10-13 15:29:52","","","","1","","",""
"29464414","2","","572549","2015-04-06 02:03:33","","11","","<p>Finally I think I get this, many thanks to you all. I hope this may add some more clarity.</p>

<pre><code>!The syntax is
git add &lt;limiters&gt; &lt;pathspec&gt;
! Aka
git add (nil/-u/-A) (nil/./pathspec)
</code></pre>

<p>Limiters may be -u or -A or nil. </p>

<p>Pathspec may be a filepath or dot, '.' to indicate the current directory. </p>

<p>Important background knowledge about how git 'adds'.</p>

<ul>
<li>Invisible files, those prefixed with a dot, (dotfiles) are never automatically recognized by Git. They are never even listed as 'untracked'.</li>
<li>Empty folders are never added by git. They are never even listed as 'untracked'. (A workaround is to add a blank file, possibly invisible, to the tracked files.)</li>
<li>Git status will not display subfolder information, ie untracked files, unless at least one file in that subfolder is tracked. Before such time, git considers the entire folder out of scope, a la 'empty'. It is empty of tracked items.</li>
<li>Specifying a filespec = '.' (dot), or the current directory, is not recursive unless -A is also specified. Dot refers strictly to the current directory - it omits paths found above and below.</li>
</ul>

<p>Now, given that knowledge, we can apply the answers above.</p>

<p>The limiters are as follows.</p>

<ul>
<li>-u = --update = subset to tracked files => Add = No; Change = Yes; Delete= Yes. => iff the item is tracked.</li>
<li>-A = --all (no such -a, which gives syntax error) = superset of all untracked/tracked files , unless in Git &lt; 2.0, wherein if the dot filespec is given, then only that particular folder is considered. => iff the item is recognized, git add -A will find it and add it.</li>
</ul>

<p>The pathspec is as follows.</p>

<ul>
<li>In Git &lt;2.0, for the two limiters (update and all), the new default is to operate on the entire working tree, instead of the current path (git &lt;= 1.9), </li>
<li>However, in v2.0, the operation can be limited to the current path: just add the explicit dot suffix (which is also valid in Git &lt;=1.9);</li>
</ul>

<p><code>git add -A .</code></p>

<p><code>git add -u .</code></p>

<p>In conclusion, my policy is ; </p>

<ul>
<li>1.Ensure any hunks/files to be added are accounted for in git status. </li>
<li>1A.If any items are missing, due to invisible files/folders, add them separately.</li>
<li>2.Have a good gitignore so that normally only files of interest are untracked and/or unrecognized.</li>
<li>3.From the top level of the repo, ""git add -A""  to add all items. This works in all versions of git.</li>
<li>4.Remove any desired items from the index if desired.</li>
<li>6.If there is a big bug, do 'git reset' to clear the index entirely.</li>
</ul>
","242110","","884521","","2016-11-21 14:45:57","2016-11-21 14:45:57","","","","0","","",""
"37621823","2","","572549","2016-06-03 19:12:18","","8","","<p><code>git add .</code> equals <code>git add -A .</code> adds files to index only from current and children folders.</p>

<p><code>git add -A</code> adds files to index from all folders in working tree.</p>

<p>P.S.: information relates to Git 2.0.</p>
","4854931","","","","","2016-06-03 19:12:18","","","","0","","",""
"49330365","2","","572549","2018-03-16 22:32:31","","21","","<p>In <strong>Git 2.x</strong>:</p>

<ul>
<li><p>If you are located directly at the <em>working directory</em>, then <code>git add -A</code> and <code>git add .</code> work without the difference.</p></li>
<li><p>If you are in any subdirectory of the <em>working directory</em>, <code>git add -A</code> will add all files from the entire <em>working directory</em>, and <code>git add .</code> will add files from your <em>current directory</em>.</p></li>
</ul>

<p>And that's all.</p>
","4217744","","4217744","","2019-01-10 10:42:23","2019-01-10 10:42:23","","","","0","","",""
"53197803","2","","572549","2018-11-07 21:05:44","","1","","<p>The -A option adds, modifies, and removes index entries to match the working tree.</p>

<p>In GIT 2 the <code>-A</code> option is now default. </p>

<p>When a <code>.</code> is added that limits the scope of the update to the directory you are currently in, as per the <a href=""https://git-scm.com/docs/git-add#git-add--A"" rel=""nofollow noreferrer"">Git documentation</a> </p>

<blockquote>
  <p>If no <code>&lt;pathspec&gt;</code> is given when -A option is used, all files in the entire working tree are updated (old versions of Git used to limit the update to the current directory and its subdirectories).</p>
</blockquote>

<p>One thing that I would add is that if the <code>--interactive</code> or <code>-p</code> mode is used then git add will behave as if the update (<code>-u</code>) flag was used and not add new files</p>
","5476516","","5476516","","2018-11-07 21:13:27","2018-11-07 21:13:27","","","","0","","",""
"54914915","2","","572549","2019-02-27 21:40:06","","0","","<p>Both <code>git add .</code> and <code>git add -A</code> will stage all new, modified and deleted files in the newer versions of <code>git</code>.</p>

<p>The difference is that <code>git add -A</code> stages files in ""higher, current and subdirectories"" that belong to your working git repository. But doing a <code>git add .</code> only stages files in current directory and subdirectories following it (NOT the files lying outside i.e. higher directories).</p>

<p>Here's an example:</p>

<pre><code>/my-repo
  .git/
  subfolder/
    nested-file.txt
  rootfile.txt
</code></pre>

<p>If your current working directory is <code>/my-repo</code>, and you do <code>rm rootfile.txt</code>, then <code>cd subfolder</code>, followed by <code>git add .</code>, then it will NOT stage the deleted file. But doing <code>git add -A</code> will certainly stage this change no matter where you perform the command from.</p>

<p>Hope this clears out the difference.</p>
","8350980","","","","","2019-02-27 21:40:06","","","","0","","",""
"948142","2","","948135","2009-06-04 01:20:35","","196","","<p>It is done by <a href=""http://www.techotopia.com/index.php/The_Ruby_case_Statement"" rel=""noreferrer"">case</a> in Ruby. Also see <a href=""http://en.wikipedia.org/wiki/Switch_statement#Ruby"" rel=""noreferrer"">this article on Wikipedia</a>.</p>

<p>Quoted:</p>

<pre><code>case n
when 0
  puts 'You typed zero'
when 1, 9
  puts 'n is a perfect square'
when 2
  puts 'n is a prime number'
  puts 'n is an even number'
when 3, 5, 7
  puts 'n is a prime number'
when 4, 6, 8
  puts 'n is an even number'
else
  puts 'Only single-digit numbers are allowed'
end
</code></pre>

<p>Another example:</p>

<pre><code>score = 70

result = case score
   when 0..40 then ""Fail""
   when 41..60 then ""Pass""
   when 61..70 then ""Pass with Merit""
   when 71..100 then ""Pass with Distinction""
   else ""Invalid Score""
end

puts result
</code></pre>

<p>On around page 123 (I am using Kindle) of <em>The Ruby Programming Lanugage</em> (1st Edition, O'Reilly), it says the <code>then</code> keyword following the <code>when</code> clauses can be replaced with a newline or semicolon (just like in the <code>if then else</code> syntax). (Ruby 1.8 also allows a colon in place of <code>then</code>... But this syntax is no longer allowed in Ruby 1.9.)</p>
","325418","","63550","","2015-08-08 02:40:33","2015-08-08 02:40:33","","","","2","","",""
"948157","2","","948135","2009-06-04 01:22:57","","2438","","<p>Ruby uses the <a href=""http://ruby-doc.com/docs/ProgrammingRuby/html/tut_expressions.html#S5"" rel=""noreferrer""><code>case</code> expression</a> instead.</p>

<pre><code>case x
when 1..5
  ""It's between 1 and 5""
when 6
  ""It's 6""
when ""foo"", ""bar""
  ""It's either foo or bar""
when String
  ""You passed a string""
else
  ""You gave me #{x} -- I have no idea what to do with that.""
end
</code></pre>

<p>Ruby compares the object in the <code>when</code> clause with the object in the <code>case</code> clause using the <code>===</code> operator. For example, <code>1..5 === x</code>, and not <code>x === 1..5</code>. </p>

<p>This allows for sophisticated <code>when</code> clauses as seen above. Ranges, classes and all sorts of things can be tested for rather than just equality.</p>

<p>Unlike <code>switch</code> statements in many other languages, Ruby’s <code>case</code> does not have <a href=""https://en.wikipedia.org/wiki/Switch_statement#Fallthrough"" rel=""noreferrer"">fall-through</a>, so there is no need to end each <code>when</code> with a <code>break</code>. You can also specify multiple matches in a single <code>when</code> clause like <code>when ""foo"", ""bar""</code>.</p>
","50742","","2797137","","2018-04-04 09:03:49","2018-04-04 09:03:49","","","","3","","",""
