Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"572549","1","572660","","2009-02-21 06:51:06","","2529","1409418","<p>The command <code>git add [--all|-A]</code> appears to be identical to <code>git add .</code>. Is this correct? If not, how do they differ?</p>
","64313","Casey","11343","","2013-10-25 16:48:20","2019-01-10 10:42:23","Difference between ""git add -A"" and ""git add .""","<git><git-add>","10","0","1120","",""
"948135","1","948157","","2009-06-04 01:18:00","","1911","743115","<p>How do I write a switch statement in Ruby?</p>
","4883","","63550","","2018-10-27 14:29:21","2019-01-28 06:02:46","How to write a switch statement in Ruby","<ruby><switch-statement><conditional>","22","0","238","",""
"1020568","1","1020571","","2009-06-20 00:16:00","","1032","602630","<p>How do I take a string and convert it to lower or upper case in Ruby?</p>
","3484","","128421","","2016-08-22 17:47:51","2019-01-29 12:18:06","How to convert a string to lower or upper case in Ruby","<ruby><string><uppercase><lowercase>","8","0","79","",""
"1186400","1","1188834","","2009-07-27 04:13:44","","100","94200","<p>I'm trying to find the best way to set default values for objects in Rails.  </p>

<p>The best I can think of is to set the default value in the <code>new</code> method in the controller. </p>

<p>Does anyone have any input if this is acceptable or if there's a better way to do it?</p>
","135059","","128421","","2016-04-21 16:16:30","2018-07-09 10:58:08","How to set default values in Rails?","<ruby-on-rails><ruby>","16","4","21","",""
"1335851","1","1335881","","2009-08-26 16:10:13","","7004","1000498","<p>Recently, I ran some of my JavaScript code through Crockford's <a href=""http://www.jslint.com/"" rel=""noreferrer"">JSLint</a>, and it gave the following error:</p>

<blockquote>
  <p>Problem at line 1 character 1: Missing ""use strict"" statement.</p>
</blockquote>

<p>Doing some searching, I realized that some people add <code>""use strict"";</code> into their JavaScript code. Once I added the statement, the error stopped appearing. Unfortunately, Google did not reveal much of the history behind this string statement. Certainly it must have something to do with how the JavaScript is interpreted by the browser, but I have no idea what the effect would be.</p>

<p>So what is <code>""use strict"";</code> all about, what does it imply, and is it still relevant?</p>

<p>Do any of the current browsers respond to the <code>""use strict"";</code> string or is it for future use?</p>
","25847","","25847","","2017-01-23 01:30:02","2019-02-09 20:42:21","What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","<javascript><syntax><jslint><use-strict>","26","0","1454","",""
"1552340","1","1552353","","2009-10-12 01:48:06","","1592","560530","<p>I have a bunch of commits in the repo. I want to see a list of files changed between two commits - from SHA1 to SHA2.</p>

<p>What command should I use? </p>
","58743","","1663462","","2017-09-08 12:55:38","2019-01-29 03:48:16","How to list only the file names that changed between two commits?","<git><git-diff><git-show>","13","1","396","",""
"1764483","1","1764571","","2009-11-19 16:14:10","","55","21863","<p>I have 2 tables: Users and Roles, and I have a table that joins these together. The only thing in the join table is Ids that link the 2 tables.</p>

<p>What should I call this table? I've never really seen a good naming convention for this.</p>

<p>Conventions I've seen before:</p>

<ul>
<li>UsersToRolesJoin</li>
<li>UsersToRolesLink</li>
<li>UsersToRolesMembership</li>
<li>UsersRoles</li>
</ul>

<p>Ex:</p>

<pre><code>Users:  
Id  
Name

Roles:  
Id  
Name  

TableThatJoinsTheTwo:  
Id  
UserId  
RoleId  
</code></pre>
","68499","","","","","2018-04-12 07:52:07","SQL Join Table Naming Convention","<sql><sql-server><naming-conventions>","18","2","10","",""
"1986386","1","1986398","","2009-12-31 17:49:03","","1174","725330","<p>I have a value <code>'Dog'</code> and an array <code>['Cat', 'Dog', 'Bird']</code>. </p>

<p>How do I check if it exists in the array without looping through it? Is there a simple way of checking if the value exists, nothing more?</p>
","211662","","128421","","2015-11-10 17:00:59","2019-01-25 07:23:34","Check if a value exists in an array in Ruby","<ruby><arrays>","24","3","119","",""
"2003505","1","2003515","","2010-01-05 01:12:15","","14715","6581974","<p>I want to delete a branch both locally and on my remote project fork on <a href=""http://en.wikipedia.org/wiki/GitHub"" rel=""noreferrer"">GitHub</a>.</p>

<h3>Failed Attempts to Delete Remote Branch</h3>

<pre><code>$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject
* [new branch] bugfix -&gt; origin/bugfix
Already up-to-date.
</code></pre>

<p>What do I need to do differently to successfully delete the
<code>remotes/origin/bugfix</code> branch both locally and on GitHub?</p>
","95592","","1000551","","2018-09-24 07:47:14","2018-12-13 18:17:55","How do I delete a Git branch both locally and remotely?","<git><git-branch><git-remote>","39","2","4790","",""
"2373074","1","2373171","","2010-03-03 16:37:25","","223","112678","<p>I've always used single quotes when writing my HTML by hand. I work with a lot of rendered HTML which always uses double quotes. This allows me to determine if the HTML was written by hand or generated. Is this a good idea?</p>

<p>What is the difference between the two? I know they both work and are supported by all modern browsers but is there a real difference where one is actually better than the other in different situations?</p>
","6161","","246246","","2012-03-15 00:32:10","2018-06-13 10:49:39","Single vs Double quotes (' vs "") ","<html><syntax>","15","4","50","",""
